75, 0.50833333333333 0.5827482447342 0.568706 0.882648;
76, 0.5077380952381 0.55566700100301 0.541625 0.885657;
77, 0.50714285714286 0.5025075225677 0.487462 0.884654;
78, 0.50178571428571 0.44232698094283 0.428285 0.883651;
79, 0.49821428571429 0.44633901705115 0.41324 0.884654;
80, 0.50297619047619 0.44633901705115 0.383149 0.875627;
81, 0.5077380952381 0.44032096288867 0.332999 0.867603;
82, 0.5047619047619 0.42527582748245 0.327984 0.860582;
83, 0.50297619047619 0.42427281845537 0.303912 0.851555;
84, 0.50535714285714 0.42326980942828 0.281846 0.844534;
85, 0.50833333333333 0.42627883650953 0.2668 0.844534;
86, 0.50833333333333 0.43029087261785 0.264794 0.853561;
87, 0.50595238095238 0.43931795386158 0.264794 0.860582;
88, 0.50595238095238 0.44232698094283 0.265797 0.864594;
89, 0.50595238095238 0.44332998996991 0.27683 0.865597;
90, 0.50654761904762 0.44232698094283 0.282849 0.861585;
91, 0.50357142857143 0.44132397191575 0.305918 0.863591;
92, 0.51964285714286 0.53861584754263 0.504514 0.85657;
93, 0.52738095238095 0.51755265797392 0.490471 0.865597;
94, 0.52916666666667 0.43931795386158 0.424273 0.875627;
95, 0.53511904761905 0.44332998996991 0.41324 0.872618;
96, 0.53869047619048 0.45536609829488 0.401204 0.874624;
97, 0.54761904761905 0.45937813440321 0.392177 0.878636;
98, 0.54107142857143 0.50952858575727 0.466399 0.873621;
99, 0.53869047619048 0.55366098294885 0.542628 0.872618;
100, 0.52916666666667 0.4974924774323 0.469408 0.874624;
101, 0.53095238095238 0.44734202607823 0.379137 0.87663;
102, 0.52380952380952 0.41925777331996 0.405216 0.879639;
103, 0.50297619047619 0.4332998996991 0.414243 0.878636;
104, 0.50535714285714 0.55667001003009 0.509529 0.878636;
105, 0.51369047619048 0.62487462387161 0.610833 0.868606;
106, 0.51607142857143 0.58876629889669 0.588766 0.868606;
107, 0.51904761904762 0.49548645937813 0.487462 0.875627;
108, 0.53511904761905 0.44433299899699 0.441324 0.879639;
109, 0.52797619047619 0.45336008024072 0.434303 0.877633;
110, 0.51607142857143 0.56068204613842 0.532598 0.8666;
111, 0.52261904761905 0.61885656970913 0.609829 0.863591;
112, 0.53869047619048 0.6148445336008 0.589769 0.879639;
113, 0.5452380952381 0.57171514543631 0.560682 0.882648;
114, 0.53571428571429 0.61384152457372 0.59679 0.862588;
115, 0.53988095238095 0.62387161484453 0.607823 0.860582;
116, 0.54940476190476 0.56569709127382 0.550652 0.863591;
117, 0.54940476190476 0.518555667001 0.503511 0.864594;
118, 0.53571428571429 0.59277833500502 0.563691 0.865597;
119, 0.53809523809524 0.61685055165496 0.597793 0.861585;
120, 0.55059523809524 0.57171514543631 0.552658 0.862588;
